Latitude,Longitude,NO2,Date,City
22.93993,72.76957,17.893639,04-08-2024 00:00,Ahmedabad
22.94314,72.63452,18.48446,04-08-2024 00:00,Ahmedabad
22.96601,72.69491,19.985733,04-08-2024 00:00,Ahmedabad
22.96864,72.55869,18.643768,04-08-2024 00:00,Ahmedabad
22.988596,72.75476,18.430736000000003,04-08-2024 00:00,Ahmedabad
22.991802,72.61966,18.238465,04-08-2024 00:00,Ahmedabad
23.014677,72.68008,16.978368999999997,04-08-2024 00:00,Ahmedabad
23.0173,72.543816,18.008955999999998,04-08-2024 00:00,Ahmedabad
23.037271,72.739944,17.201499,04-08-2024 00:00,Ahmedabad
23.040472,72.604805,16.861119,04-08-2024 00:00,Ahmedabad
23.059591,72.79928,18.475741,04-08-2024 00:00,Ahmedabad
23.063356,72.66523,17.803899,04-08-2024 00:00,Ahmedabad
23.065977,72.52893,16.901096,04-08-2024 00:00,Ahmedabad
23.085958,72.72512,17.585304,04-08-2024 00:00,Ahmedabad
23.089157,72.589935,16.577467000000002,04-08-2024 00:00,Ahmedabad
22.91132,72.695625,23.413044000000003,05-08-2024 00:00,Ahmedabad
22.905552,72.55931,20.142532,05-08-2024 00:00,Ahmedabad
22.959206,72.67903,21.242178000000003,05-08-2024 00:00,Ahmedabad
23.011667,72.79647,20.765778,05-08-2024 00:00,Ahmedabad
22.9534,72.54267,20.762824,05-08-2024 00:00,Ahmedabad
23.007078,72.66242,20.34638,05-08-2024 00:00,Ahmedabad
23.059563,72.77989,19.533416,05-08-2024 00:00,Ahmedabad
23.001251,72.52602,22.48326,05-08-2024 00:00,Ahmedabad
23.054955,72.645805,20.861364,05-08-2024 00:00,Ahmedabad
23.049128,72.50937,26.05629,05-08-2024 00:00,Ahmedabad
22.911428,72.52439,9.8833925,06-08-2024 00:00,Ahmedabad
22.914557,72.61815,13.061186,06-08-2024 00:00,Ahmedabad
22.91763,72.713295,10.021058,06-08-2024 00:00,Ahmedabad
22.960377,72.51532,9.192299,06-08-2024 00:00,Ahmedabad
22.963495,72.609116,9.594983,06-08-2024 00:00,Ahmedabad
22.966558,72.70429,10.294737,06-08-2024 00:00,Ahmedabad
23.009304,72.50623,9.918178,06-08-2024 00:00,Ahmedabad
23.012413,72.60006,9.610871,06-08-2024 00:00,Ahmedabad
23.015469,72.695274,10.63613,06-08-2024 00:00,Ahmedabad
23.018465,72.791916,8.990212,06-08-2024 00:00,Ahmedabad
23.06135,72.59101,9.527606,06-08-2024 00:00,Ahmedabad
23.064396,72.68626,9.312078,06-08-2024 00:00,Ahmedabad
23.067383,72.782936,9.197615,06-08-2024 00:00,Ahmedabad
22.903046,72.69069,8.116918,07-08-2024 00:00,Ahmedabad
22.908157,72.738434,8.203683,07-08-2024 00:00,Ahmedabad
22.913248,72.786476,10.070689,07-08-2024 00:00,Ahmedabad
22.936857,72.53841,9.004363999999999,07-08-2024 00:00,Ahmedabad
22.94202,72.58529,9.368974,07-08-2024 00:00,Ahmedabad
22.947165,72.63246,9.593731,07-08-2024 00:00,Ahmedabad
22.952291,72.679924,11.535278,07-08-2024 00:00,Ahmedabad
22.9574,72.727684,11.81817,07-08-2024 00:00,Ahmedabad
22.96249,72.77575,12.465474,07-08-2024 00:00,Ahmedabad
22.986095,72.527596,9.041749,07-08-2024 00:00,Ahmedabad
22.991257,72.5745,10.135494,07-08-2024 00:00,Ahmedabad
22.9964,72.62169,12.043516,07-08-2024 00:00,Ahmedabad
23.001526,72.66917,12.333657,07-08-2024 00:00,Ahmedabad
23.006632,72.71694,11.26105,07-08-2024 00:00,Ahmedabad
23.01172,72.76502,12.040727,07-08-2024 00:00,Ahmedabad
23.035364,72.51685,10.891163,07-08-2024 00:00,Ahmedabad
23.040524,72.563774,11.043661,07-08-2024 00:00,Ahmedabad
23.045666,72.61098,11.374103,07-08-2024 00:00,Ahmedabad
23.050789,72.65848,12.652303,07-08-2024 00:00,Ahmedabad
23.055895,72.706276,12.588195,07-08-2024 00:00,Ahmedabad
23.060982,72.75437,11.1954105,07-08-2024 00:00,Ahmedabad
23.084574,72.50594,11.217309,07-08-2024 00:00,Ahmedabad
23.089733,72.55288,12.016824,07-08-2024 00:00,Ahmedabad
23.094873,72.600105,11.490366,07-08-2024 00:00,Ahmedabad
23.099995,72.64762,10.9959965,07-08-2024 00:00,Ahmedabad
22.903536,72.59049,9.409115,08-08-2024 00:00,Ahmedabad
22.911314,72.624756,9.43984,08-08-2024 00:00,Ahmedabad
22.91906,72.65901,10.641,08-08-2024 00:00,Ahmedabad
22.926771,72.69327,11.252411,08-08-2024 00:00,Ahmedabad
22.934448,72.72751,10.516913,08-08-2024 00:00,Ahmedabad
22.937082,72.50937,9.222335,08-08-2024 00:00,Ahmedabad
22.942091,72.76175,11.142093,08-08-2024 00:00,Ahmedabad
22.944935,72.54367,10.546603,08-08-2024 00:00,Ahmedabad
22.949701,72.79599,14.923883,08-08-2024 00:00,Ahmedabad
22.952751,72.577965,8.669587,08-08-2024 00:00,Ahmedabad
22.960533,72.61224,8.100463999999999,08-08-2024 00:00,Ahmedabad
22.968279,72.64651,9.474957,08-08-2024 00:00,Ahmedabad
22.97599,72.68077,13.205285,08-08-2024 00:00,Ahmedabad
22.98367,72.71503,10.0826865,08-08-2024 00:00,Ahmedabad
22.991314,72.74928,10.51434,08-08-2024 00:00,Ahmedabad
22.994179,72.53112,9.433048,08-08-2024 00:00,Ahmedabad
22.998924,72.78353,11.20053,08-08-2024 00:00,Ahmedabad
23.001995,72.56542,9.22605,08-08-2024 00:00,Ahmedabad
23.009779,72.59971,8.662754,08-08-2024 00:00,Ahmedabad
23.017527,72.633995,7.948097,08-08-2024 00:00,Ahmedabad
23.02524,72.66827,8.369425999999999,08-08-2024 00:00,Ahmedabad
23.032919,72.70254,8.058159,08-08-2024 00:00,Ahmedabad
23.040565,72.7368,8.21374,08-08-2024 00:00,Ahmedabad
23.04339,72.51852,9.06859,08-08-2024 00:00,Ahmedabad
23.048178,72.771065,9.282477,08-08-2024 00:00,Ahmedabad
23.05121,72.55283,8.2689085,08-08-2024 00:00,Ahmedabad
23.058994,72.587135,8.4465955,08-08-2024 00:00,Ahmedabad
23.066742,72.62143,8.115625000000001,08-08-2024 00:00,Ahmedabad
23.074457,72.655716,9.897081,08-08-2024 00:00,Ahmedabad
23.082138,72.69,9.47806,08-08-2024 00:00,Ahmedabad
23.089785,72.72428,8.938071,08-08-2024 00:00,Ahmedabad
23.092554,72.50595,10.143849,08-08-2024 00:00,Ahmedabad
23.097399,72.75855,8.658636000000001,08-08-2024 00:00,Ahmedabad
22.926844,72.79352,15.30295,10-08-2024 00:00,Ahmedabad
